plant_id,common_name,plant_name,native_status,sun_shade,plot_type,area_reqd_(metres),bloom_season,milestone,points,hardiness,notes,rhs_link
16132,blackberry,Rubus fruticosus agg.,Native,Full sun,4,64,Summer,Sanctuary,60,H6,"Tolerates most soils; needs sun to flower and fruit well. Vigorous native thorny scrambler, spread wider than 8m, valuable for wildlife but can become a nuisance if unmanaged; needs regular hard pruning, cutting old canes and shortening new ones, sometimes to ground level every few years.",https://www.rhs.org.uk/plants/16132/rubus-fruticosus-agg/details
17856,devil's bit scabious,Succisa pratensis,Native,Full sun | Partial shade,2,0.25,Summer | Autumn,Seedling,10,H7,"Grows in any moist but well-drained soil in sun or partial shade; ideal for naturally peaty soil. Native clump-forming perennial to 60cm with pale violet pincushion-like flowerheads. No pruning required, generally disease-free. HOST PLANT to the small scabious mining bee",https://www.rhs.org.uk/plants/17856/succisa-pratensis/details
99960,bird's foot trefoil,Lotus corniculatus,Native,Full sun,2,0.25,Summer | Autumn,Seedling,10,H7,"Grows in grassy places in sun on well-drained, low-nitrogen soils; often appears in lawns. Native perennial with yellow pea flowers, late spring to early autumn. No pruning required, generally pest and disease-free.",https://www.rhs.org.uk/plants/99960/lotus-corniculatus/details
13944,selfheal,Prunella vulgaris,Native,Full sun | Partial shade,2,0.25,Summer | Autumn,Seedling,10,H5,"Easy to grow in any soil, full sun or partial shade. Native creeping ground-cover perennial; may be considered invasive, deadhead to prevent excessive self-seeding. Attracts bees and other beneficial insects.",https://www.rhs.org.uk/plants/13944/prunella-vulgaris/details
5862,common foxglove,Digitalis purpurea,Native,Full sun | Partial shade,2,0.25,Summer,Seedling,10,H7,"Grows in almost any soil, avoiding very wet or dry sites; prefers humus-rich soil in partial shade but tolerates full sun. Native biennial to 2m, freely self-sowing. CAUTION: toxic if eaten, toxic to pets; wear gloves when handling.",https://www.rhs.org.uk/plants/5862/digitalis-purpurea/details
76282,dandelion,Taraxacum officinale agg.,Native,Full sun | Partial shade,1,0.09,Spring,Seedling,10,H7,"Happy in a wide range of conditions, prefers rich soil; naturally found in grassy places and waste ground. Bright yellow flowers, April to June, followed by wind-dispersed seed heads. No pruning required, generally pest and disease-free.",https://www.rhs.org.uk/plants/76282/taraxacum-officinale-agg/details
98755,apple mint,Mentha suaveolens,Native,Full sun | Partial shade,3,2.25,Summer | Autumn,Sanctuary,60,H5,"Grow in poor, moist soil in full sun. Vigorous rhizomatous perennial, spreads far and wide with potential to become a nuisance — RHS recommends planting in deep containers plunged into the soil. Cut back at end of growing season.",https://www.rhs.org.uk/plants/98755/mentha-suaveolens/details
149134,broad-leaved thyme 'Archer's Gold',Thymus pulegioides 'Archer's Gold',Non native,Full sun,2,0.25,Spring | Summer,Seedling,10,H5,"Easy to grow in most well-drained, alkaline to neutral soils in full sun. Bushy evergreen sub-shrub to 20cm with lemon-scented leaves and pale lilac flowers. Drought resistant, generally pest and disease-free.",https://www.rhs.org.uk/plants/149134/thymus-pulegioides-archers-gold/details
92958,oregano 'Barbara Tingey',Origanum 'Barbara Tingey',Non native,Full sun,2,0.25,Summer,Seedling,10,H4,"Grow in poor to moderately fertile, well-drained, preferably alkaline soil in full sun; protect from winter wet. Trailing semi-evergreen sub-shrub with pale purple flowers and showy pink bracts over a long period. Generally pest and disease-free.",https://www.rhs.org.uk/plants/92958/origanum-barbara-tingey/details
65306,English lavender 'Imperial Gem',Lavandula angustifolia 'Imperial Gem',Non native,Full sun,2,0.25,Summer,Garden,20,H5,"Grow in well-drained soil in a sheltered, sunny position. Compact evergreen shrub with fragrant deep purple flower spikes, mid to late summer. Drought resistant. Needs annual trimming to prevent legginess; avoid cutting into old wood.",https://www.rhs.org.uk/plants/65306/lavandula-angustifolia-imperial-gem/details
74019,lavender 'Grosso',Lavandula × intermedia 'Grosso',Non native,Full sun,3,1.0,Summer,Garden,20,H5,"Prefers well-drained neutral to alkaline soil, tolerates acidic conditions; avoid waterlogging. High-nitrogen fertiliser causes floppy growth. Evergreen shrub to 90cm with deep bluish-purple, very aromatic flower spikes. Drought resistant. Avoid cutting into old wood when pruning.",https://www.rhs.org.uk/plants/74019/lavandula-%C3%97-intermedia-grosso/details
9057,hyssop,Hyssopus officinalis,Non native,Full sun | Partial shade,3,1.0,Summer | Autumn,Garden,20,H7,"Grow in fertile, well-drained, alkaline to neutral soil in full sun. Compact spreading sub-shrub with blue flower spikes, summer into early autumn. Needs pruning group 10 treatment (structured spring pruning) to keep shape.",https://www.rhs.org.uk/plants/9057/hyssopus-officinalis/details
90194,thyme 'Pink Chintz',Thymus serpyllum 'Pink Chintz',Non native,Full sun,2,0.25,Summer,Seedling,10,H5,"Easy to grow in most well-drained, alkaline to neutral soils in full sun; good for rock gardens or paving crevices. Low mat-forming evergreen sub-shrub with flesh-pink flowers, releases fragrance when trodden on. Cut back hard after flowering. Generally pest and disease-free.",https://www.rhs.org.uk/plants/90194/thymus-serpyllum-pink-chintz/details</br>
384211,rosemary,Salvia rosmarinus (Ro),Non native,Full sun,4,6.25,Spring | Summer,Garden,20,H4,"Grow in poor to moderately fertile, well-drained soil in sun. Bushy evergreen shrub, 15cm to 2m tall depending on selection, with pale violet-blue flowers. CAUTION: skin allergen, wear gloves when handling. Needs pruning group 9 treatment, trim hedges after flowering.",https://www.rhs.org.uk/plants/384211/salvia-rosmarinus-ro/details
54843,honeysuckle 'Winter Beauty',Lonicera × purpusii 'Winter Beauty',Non native,Full sun | Partial shade,4,6.25,Winter | Spring,Garden,20,H6,"Grow in any well-drained soil in sun or part shade. Rounded shrub to 2m with sweetly-scented cream-white flowers on bare branches, winter into early spring. CAUTION: ornamental berries, not edible. Pruning group 2.",https://www.rhs.org.uk/plants/54843/lonicera-%C3%97-purpusii-winter-beauty/details
97228,rose 'Geranium',Rosa 'Geranium' (moyesii hybrid) (S),Non native,Full sun | Partial shade,4,2.25,Summer,Habitat,35,H5,"Grow in full sun or part shade, fertile humus-rich moist but well-drained soil; feed and mulch in late winter/spring for best flowering. Vigorous shrub rose to 2.5m, once-flowering scarlet-orange blooms followed by red hips. Susceptible to blackspot, rust, mildew and multiple pests. Specific pruning timing: do not prune after flowering if hips wanted.",https://www.rhs.org.uk/plants/97228/rosa-geranium-moyesii-hybrid-s/details
323345,cotoneaster 'Pink Champagne',Cotoneaster salicifolius 'Pink Champagne',Non native,Full sun | Partial shade,4,16,Summer,Garden,20,H6,"Grow in any well-drained soil in full sun or partial shade, sheltered from cold winds. Vigorous arching shrub to 5m with white flowers followed by yellow berries turning pink. CAUTION: ornamental berries, not edible. Pruning group 8, only if necessary.",https://www.rhs.org.uk/plants/323345/cotoneaster-salicifolius-pink-champagne/details
16236,goat willow,Salix caprea,Native,Full sun,4,64,Spring,Habitat,35,H6,"Grow in any deep moist well-drained soil in full sun; dislikes shallow chalk soils. Large native shrub or small tree, 8-12m tall, with silvery-grey catkins in spring before leaves. Reaches proper tree scale — needs real long-term space commitment. Pruning group 1 (light). HOST PLANT to Clarke's mining bee",https://www.rhs.org.uk/plants/16236/salix-caprea/details
98703,Oregon grape 'Charity',Mahonia × media 'Charity',Non native,Full sun | Partial shade,4,16,Autumn | Winter,Seedling,10,H5,"Good for woodland settings, sheltered or exposed, full sun or partial shade. Upright evergreen shrub to 4m with fragrant yellow flower racemes, late autumn into winter. Generally pest and disease-free. CAUTION: ornamental berries, not edible. Pruning group 8.",https://www.rhs.org.uk/plants/98703/mahonia-%C3%97-media-charity/details
43091,common ivy,Hedera helix,Native,Full shade | Full sun | Partial shade,4,16,Autumn,Sanctuary,60,H5,"Tolerant of most soils and conditions; grows best in fertile, humus-rich, well-drained alkaline soil, sheltered. Vigorous self-clinging climber, spreads rapidly — 'not always welcome,' needs active management on buildings/trees. Important wildlife plant. CAUTION: skin irritant/allergen, harmful if eaten. Drought resistant. HOST plant to the ivy bee",https://www.rhs.org.uk/plants/43091/hedera-helix/details
4558,cotoneaster 'Exburiensis',Cotoneaster 'Exburiensis',Non native,Full sun | Partial shade,4,64,Summer,Garden,20,H6,"Grow in any well-drained soil in full sun or partial shade, sheltered from cold winds. Arching evergreen/semi-evergreen shrub to 5m with white flowers, apricot-yellow fruits. CAUTION: ornamental berries, not edible. Pruning group 8, only if necessary.",https://www.rhs.org.uk/plants/4558/cotoneaster-exburiensis/details
70048,firethorn 'Orange Glow',Pyracantha 'Orange Glow',Non native,Full sun | Partial shade,4,6.25,Summer,Garden,20,H6,"Easy to grow in fertile soil, sun or partial shade; tolerant of pollution. Large spiny evergreen shrub to 2.5m, white flowers followed by long-lasting orange berries. CAUTION: spiny/thorny, ornamental berries not edible. Pruning group 1 (light).",https://www.rhs.org.uk/plants/70048/pyracantha-orange-glow/details
29391,Meyer's lemon,Citrus × meyeri 'Meyer',Non native,Full sun,1,0.25,Summer,Sanctuary,60,H2,"Grow in a container of peat-free loam-based compost with grit, full light, shade from hot sun. Water freely and mist daily in growth; water sparingly in winter. Feed year-round with citrus fertiliser. Cannot survive frost — must overwinter under glass every year without fail. Susceptible to red spider mite, scale, aphids, mealybugs under glass.",https://www.rhs.org.uk/plants/29391/citrus-x-meyeri-meyer/details
63999,lesser periwinkle 'Aureovariegata',Vinca minor 'Aureovariegata' (v),Non native,Full shade | Full sun | Partial shade,2,0.25,Spring | Summer,Habitat,35,H6,"Grow in any but very dry soil. Has the potential to become a nuisance if not managed well. To restrict growth, cut back hard in early spring.",https://www.rhs.org.uk/plants/63999/vinca-minor-aureovariegata-(v)/details
90213,Japanese anemone 'Praecox',Anemone hupehensis 'Praecox',Non native,Full sun | Partial shade,3,1.0,Summer | Autumn,Habitat,35,H7,"Spreads readily over time, often wandering through borders via suckers, and any root fragment left behind regrows - allocate and monitor for containment, not the young-plant size. Dislikes being moved once established. CAUTION: mild irritant if ingested/handled.",https://www.rhs.org.uk/plants/90213/anemone-hupehensis-praecox/details
10637,Yellow loosestrife,Lysimachia vulgaris,Native,Full sun | Partial shade,3,1.0,Summer,Garden,20,H6,"RHS-listed Plants for Pollinators. Occurs naturally in damp places on rich soils, poorly-drained clay or loam. Hairy perennial forming clumps by creeping rhizomes; may be cut back at end of season. Generally pest and disease-free. HOST PLANT for the yellow loosestrife bee (Macropis europaea), a specialist that collects both pollen and floral oils from this plant to waterproof its nest cells.",https://www.rhs.org.uk/plants/10637/lysimachia-vulgaris/details
2969,Common harebell,Campanula rotundifolia,Native,Full sun | Partial shade,1,0.09,Summer,Seedling,10,H7,"RHS-listed Plants for Pollinators. Suitable for rock gardens, sunny walls, banks, or containers. No pruning required. Susceptible to slugs, snails, aphids; may get rust or powdery mildew. HOST PLANT for the harebell carpenter bee (Chelostoma campanularum) and other Campanula-specialist bees, which collect pollen almost exclusively from this genus.",https://www.rhs.org.uk/plants/2969/campanula-rotundifolia/details
